code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,is_withdrawn,total_clicks,avg_clicks,last_interaction_day,active_days,avg_score,max_score,total_assessments,total_submitted,assessment_completion_rate,module_presentation_length,risk_label,low_engagement,low_score
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79.0,109.0,1,190.0,2.676056338028169,46.0,21.0,65.0,65.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,,0,1829.0,2.917065390749601,260.0,117.0,58.6,64.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,170.0,1,426.0,3.1791044776119404,163.0,43.0,38.333333333333336,60.0,3.0,3.0,1.0,268,1,1,1
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,,0,3210.0,4.483240223463687,268.0,116.0,74.6,83.0,5.0,5.0,1.0,268,1,0,0
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,187.0,1,188.0,3.418181818181818,185.0,18.0,43.0,51.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108.0,177.0,1,2016.0,4.28936170212766,177.0,78.0,67.66666666666667,70.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64.0,,0,130.0,1.6883116883116882,243.0,15.0,55.4,65.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-50.0,,0,59.0,2.107142857142857,133.0,8.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,-162.0,-121.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17.0,,0,709.0,2.3633333333333333,256.0,87.0,50.2,55.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83.0,,0,513.0,3.109090909090909,175.0,24.0,58.66666666666666,59.0,3.0,3.0,1.0,268,1,1,1
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18.0,,0,146.0,3.3181818181818183,199.0,11.0,64.0,64.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,-54.0,-3.0,1,68.0,2.6153846153846154,-5.0,6.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-67.0,53.0,1,2376.0,4.50853889943074,52.0,45.0,84.0,84.0,1.0,1.0,1.0,268,1,0,0
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,-32.0,,0,332.0,2.721311475409836,205.0,27.0,53.0,57.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,-192.0,65.0,1,303.0,3.03,63.0,33.0,36.0,36.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-196.0,160.0,1,2286.0,3.1272229822161424,160.0,106.0,86.33333333333333,87.0,3.0,3.0,1.0,268,1,0,0
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,48.0,,0,201.0,1.7787610619469028,226.0,35.0,64.2,70.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-71.0,51.0,1,880.0,3.8596491228070176,51.0,38.0,75.0,75.0,1.0,1.0,1.0,268,1,0,0
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-12.0,,0,65.0,1.2264150943396226,242.0,18.0,49.2,61.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,-44.0,,0,164.0,4.1,44.0,8.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,-32.0,5.0,1,198.0,4.304347826086956,1.0,7.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-38.0,,0,166.0,1.8863636363636365,171.0,27.0,57.0,63.0,3.0,3.0,1.0,268,1,1,1
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-129.0,,0,821.0,3.3925619834710745,212.0,63.0,69.0,75.0,4.0,4.0,1.0,268,1,0,1
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,-60.0,,0,292.0,2.3548387096774195,247.0,25.0,55.6,68.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,-31.0,202.0,1,639.0,2.944700460829493,195.0,50.0,69.66666666666667,80.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,-58.0,,0,363.0,2.1736526946107784,242.0,44.0,45.0,55.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail,-57.0,,0,1183.0,3.6625386996904026,261.0,87.0,46.4,54.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,405961,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn,-170.0,-100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,-60.0,172.0,1,1359.0,4.575757575757576,156.0,49.0,59.66666666666666,67.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,420087,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,-15.0,,0,342.0,2.4963503649635035,168.0,27.0,76.0,80.0,3.0,3.0,1.0,268,1,1,0
AAA,2013J,442442,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,-32.0,119.0,1,1009.0,3.4203389830508475,163.0,49.0,40.5,42.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,470588,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-43.0,73.0,1,400.0,4.938271604938271,63.0,16.0,86.0,86.0,1.0,1.0,1.0,268,1,1,0
AAA,2013J,494424,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,-38.0,,0,58.0,2.761904761904762,18.0,2.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,564450,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail,-43.0,,0,224.0,2.5454545454545454,258.0,32.0,59.2,64.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,568601,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-30.0,128.0,1,488.0,5.809523809523809,123.0,17.0,81.5,85.0,2.0,2.0,1.0,268,1,1,0
AAA,2013J,581129,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-38.0,,0,194.0,2.5526315789473686,216.0,19.0,40.0,65.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,603861,M,North Region,HE Qualification,Unknown,55<=,0,60,N,Withdrawn,-38.0,241.0,1,955.0,3.962655601659751,208.0,68.0,63.0,71.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,606143,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,-43.0,,0,406.0,3.147286821705426,116.0,34.0,66.0,78.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,721259,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn,-73.0,23.0,1,1228.0,4.354609929078015,20.0,27.0,0.0,0.0,1.0,1.0,1.0,268,1,0,1
AAA,2013J,969076,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn,-42.0,173.0,1,1980.0,2.6541554959785523,173.0,135.0,59.75,82.0,4.0,4.0,1.0,268,1,0,1
AAA,2013J,1352868,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn,-63.0,203.0,1,641.0,3.683908045977012,253.0,36.0,65.5,66.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,-35.0,,0,240.0,2.823529411764706,128.0,24.0,35.0,45.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,1414443,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,Fail,-169.0,,0,1907.0,4.80352644836272,211.0,43.0,59.0,60.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,1456619,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,-87.0,27.0,1,467.0,3.3840579710144927,24.0,22.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail,20.0,,0,939.0,4.082608695652174,242.0,47.0,61.6,67.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,1620151,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail,-95.0,,0,998.0,4.577981651376147,162.0,44.0,77.5,85.0,2.0,2.0,1.0,268,1,0,0
AAA,2013J,1686521,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-124.0,37.0,1,643.0,3.199004975124378,28.0,29.0,68.0,68.0,1.0,1.0,1.0,268,1,0,1
AAA,2013J,1758449,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn,-198.0,103.0,1,2756.0,4.24,102.0,75.0,61.0,65.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,1763015,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn,-58.0,-2.0,1,420.0,14.0,-2.0,3.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,1970390,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,-108.0,240.0,1,11139.0,5.550074738415546,242.0,219.0,83.6,90.0,5.0,5.0,1.0,268,1,0,0
AAA,2013J,2062879,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-74.0,,0,2386.0,3.2330623306233064,243.0,145.0,61.2,65.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,2065691,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn,-16.0,138.0,1,1430.0,5.766129032258065,119.0,34.0,35.666666666666664,40.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,2073016,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,-65.0,173.0,1,849.0,2.580547112462006,165.0,62.0,60.333333333333336,68.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,2084066,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail,-148.0,,0,1967.0,4.230107526881721,215.0,87.0,59.75,65.0,4.0,4.0,1.0,268,1,0,1
AAA,2013J,2139353,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn,-59.0,163.0,1,1262.0,2.8295964125560538,160.0,82.0,66.0,71.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,2149225,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,Withdrawn,-36.0,10.0,1,319.0,3.625,10.0,8.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2164705,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,-43.0,,0,231.0,3.039473684210526,50.0,11.0,70.0,70.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,2255601,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-28.0,175.0,1,2543.0,4.114886731391586,174.0,82.0,54.5,71.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,2312620,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,Withdrawn,-45.0,178.0,1,1129.0,3.5841269841269843,176.0,44.0,32.0,51.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,2318055,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,-56.0,-19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2324976,F,Scotland,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-101.0,-50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2342426,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,-38.0,,0,1814.0,3.501930501930502,243.0,107.0,73.2,80.0,5.0,5.0,1.0,268,1,0,0
AAA,2013J,2344901,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-24.0,,0,445.0,3.0902777777777777,207.0,30.0,51.5,67.0,4.0,4.0,1.0,268,1,1,1
AAA,2013J,2358056,F,North Region,HE Qualification,Unknown,0-35,0,60,N,Fail,-102.0,,0,1588.0,2.919117647058824,243.0,123.0,67.8,79.0,5.0,5.0,1.0,268,1,0,1
AAA,2013J,2358969,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,Withdrawn,-53.0,58.0,1,373.0,3.518867924528302,66.0,22.0,68.0,68.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,2365101,M,South East Region,HE Qualification,20-30%,0-35,0,300,N,Withdrawn,-129.0,-80.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2391984,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-101.0,242.0,1,818.0,4.351063829787234,238.0,44.0,73.0,75.0,4.0,4.0,1.0,268,1,0,0
AAA,2013J,2411661,F,South Region,A Level or Equivalent,80-90%,0-35,0,120,N,Fail,-17.0,,0,574.0,4.592,215.0,23.0,46.8,57.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,2411778,M,Scotland,HE Qualification,20-30%,0-35,0,120,N,Withdrawn,-35.0,220.0,1,1497.0,6.2635983263598325,193.0,42.0,80.0,83.0,2.0,2.0,1.0,268,1,0,0
AAA,2013J,2429854,M,London Region,A Level or Equivalent,10-20,35-55,0,120,Y,Withdrawn,-52.0,114.0,1,655.0,4.119496855345912,112.0,34.0,51.0,51.0,1.0,1.0,1.0,268,1,0,1
AAA,2013J,2456480,M,Scotland,Lower Than A Level,80-90%,35-55,0,120,N,Fail,-71.0,,0,183.0,2.506849315068493,165.0,21.0,24.666666666666668,40.0,3.0,3.0,1.0,268,1,1,1
AAA,2013J,2461190,M,South Region,HE Qualification,70-80%,55<=,0,60,N,Fail,-11.0,,0,967.0,4.063025210084033,118.0,53.0,56.0,62.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,2469673,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,-22.0,,0,523.0,3.16969696969697,242.0,33.0,44.5,52.0,4.0,4.0,1.0,268,1,1,1
AAA,2013J,2470694,F,Scotland,HE Qualification,50-60%,55<=,0,60,N,Withdrawn,-106.0,219.0,1,2176.0,3.2,216.0,110.0,67.0,67.0,1.0,1.0,1.0,268,1,0,1
AAA,2013J,2542724,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,-59.0,13.0,1,228.0,3.737704918032787,5.0,9.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2552472,F,South Region,HE Qualification,80-90%,35-55,0,120,N,Withdrawn,-38.0,199.0,1,519.0,5.580645161290323,195.0,13.0,53.5,62.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,2569324,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,-81.0,93.0,1,26.0,4.333333333333333,89.0,3.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2576122,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-137.0,39.0,1,250.0,2.9411764705882355,37.0,14.0,64.0,64.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,2620584,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,-109.0,,0,92.0,3.1724137931034484,18.0,5.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,2669816,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,-58.0,,0,280.0,2.0437956204379564,241.0,30.0,57.2,68.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,2676809,F,North Region,HE Qualification,10-20,0-35,0,150,N,Fail,-31.0,,0,309.0,2.3059701492537314,142.0,26.0,43.333333333333336,48.0,3.0,3.0,1.0,268,1,1,1
AAA,2014J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Fail,-144.0,,0,5.0,2.5,215.0,2.0,67.0,68.0,2.0,0.0,0.0,269,1,1,1
AAA,2014J,79403,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,-23.0,164.0,1,1782.0,5.165217391304348,164.0,76.0,60.66666666666666,72.0,3.0,3.0,1.0,269,1,0,1
AAA,2014J,87431,M,South East Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-106.0,235.0,1,802.0,3.9507389162561575,235.0,29.0,50.0,58.0,3.0,3.0,1.0,269,1,0,1
AAA,2014J,95755,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-80.0,241.0,1,381.0,3.0,244.0,43.0,45.0,58.0,2.0,2.0,1.0,269,1,1,1
AAA,2014J,111512,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-16.0,,0,439.0,3.06993006993007,34.0,21.0,0.0,0.0,0.0,0.0,0.0,269,1,1,1
AAA,2014J,119902,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,-31.0,207.0,1,2590.0,3.978494623655914,207.0,81.0,67.0,75.0,4.0,4.0,1.0,269,1,0,1
AAA,2014J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn,-143.0,143.0,1,877.0,3.747863247863248,141.0,77.0,81.0,85.0,3.0,0.0,0.0,269,1,0,0
AAA,2014J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,-82.0,24.0,1,16.0,1.7777777777777777,16.0,5.0,0.0,0.0,0.0,0.0,0.0,269,1,1,1
AAA,2014J,139033,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Fail,-46.0,,0,790.0,2.7526132404181185,269.0,60.0,61.0,66.0,5.0,5.0,1.0,269,1,0,1
AAA,2014J,141506,M,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail,-28.0,,0,415.0,3.074074074074074,163.0,26.0,75.0,75.0,1.0,1.0,1.0,269,1,1,0
AAA,2014J,151587,F,Wales,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-129.0,234.0,1,166.0,2.2739726027397262,215.0,27.0,67.0,73.0,3.0,3.0,1.0,269,1,1,1
AAA,2014J,152668,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-72.0,104.0,1,765.0,3.1742738589211617,103.0,34.0,71.0,71.0,1.0,1.0,1.0,269,1,0,0
AAA,2014J,158707,F,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,-57.0,172.0,1,4746.0,5.296875,172.0,98.0,74.0,77.0,3.0,3.0,1.0,269,1,0,0
AAA,2014J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn,-24.0,201.0,1,877.0,2.673780487804878,201.0,71.0,69.33333333333333,75.0,3.0,1.0,0.3333333333333333,269,1,0,1
AAA,2014J,165226,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-22.0,,0,1062.0,4.871559633027523,93.0,30.0,77.0,77.0,1.0,1.0,1.0,269,1,0,0
AAA,2014J,175772,F,East Anglian Region,HE Qualification,90-100%,35-55,0,270,N,Withdrawn,-45.0,67.0,1,3018.0,5.285464098073555,66.0,72.0,85.0,85.0,1.0,1.0,1.0,269,1,0,0
AAA,2014J,185350,M,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,-22.0,,0,236.0,2.593406593406593,241.0,30.0,59.6,75.0,5.0,5.0,1.0,269,1,1,1
AAA,2014J,243510,F,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,-16.0,,0,549.0,2.758793969849246,247.0,39.0,43.6,62.0,5.0,5.0,1.0,269,1,1,1
AAA,2014J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn,-156.0,-87.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269,1,1,1
AAA,2014J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,-10.0,,0,3.0,3.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,269,1,1,1
AAA,2014J,274947,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,-43.0,229.0,1,251.0,2.5353535353535355,229.0,26.0,54.0,82.0,5.0,5.0,1.0,269,1,1,1
AAA,2014J,275674,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-155.0,132.0,1,2090.0,3.381877022653722,122.0,117.0,45.0,50.0,3.0,3.0,1.0,269,1,0,1
